ticker,gap_date,gap_pct,open,prev_close,addv20,market_cap,fiscal_period,fiscal_year,eps_diluted,eps_positive,eps_growth_yoy,revenue,revenue_growth_yoy,net_income
PPG,2021-04-16,9.9,169.29,153.97,230799859,22802844448.0,Q1,2021,1.58,True,54.9,3881000000.0,14.9,385000000.0
EFX,2021-04-22,13.1,217.9,192.63,107774956,22163355231.0,Q1,2021,1.64,True,72.6,1213000000.0,26.6,202900000.0
SNAP,2021-04-23,8.7,62.01,57.05,1149113335,7701621074.0,Q1,2021,-0.19,False,9.5,769584000.0,66.4,-286882000.0
CROX,2021-04-27,11.6,94.7,84.84,81914724,3915708808.0,Q1,2021,1.47,True,818.8,460098000.0,63.6,98398000.0
IT,2021-05-04,18.0,232.97,197.41,122547149,11746882022.0,Q1,2021,1.84,True,121.7,1104038000.0,8.4,164100000.0
CZR,2021-05-05,9.3,104.38,95.53,262092764,5710799849.0,Q1,2021,-2.03,False,,1699000000.0,-7.1,-424000000.0
BILL,2021-05-07,16.9,152.28,130.33,151737536,3937635908.0,Q3,2021,,,,59738000.0,44.9,-26728000.0
DDOG,2021-05-07,11.2,79.34,71.36,251302020,44061567487.0,Q1,2021,-0.04,False,-300.0,198549000.0,51.3,-13068000.0
NET,2021-05-07,8.5,74.93,69.07,392333465,74778214310.0,Q1,2021,-0.13,False,,138055000.0,51.3,-39963000.0
ROKU,2021-05-07,13.3,321.99,284.18,1141802028,13511755945.0,Q1,2021,0.54,True,220.0,574183000.0,79.0,76296000.0
DDD,2021-05-11,14.1,20.28,17.77,70067884,353462035.0,Q1,2021,0.36,True,,146116000.0,7.7,45228000.0
CELH,2021-05-13,11.1,17.09,15.38,48894863,11453420008.0,Q1,2021,0.01,True,0.0,50034879.0,77.5,585424
SONO,2021-05-13,10.7,34.86,31.49,86037335,1589475440.0,Q4,2021,0.12,True,-20.0,332949000.0,-2.0,17221000.0
DASH,2021-05-14,8.2,125,115.49,331064928,70099036159.0,Q1,2021,-0.34,False,,1077000000.0,,-110000000.0
GEVO,2021-05-14,11.6,5.31,4.76,75222315,576694958.0,Q1,2021,,,,93000,-97.6,-10057000.0
DKS,2021-05-26,10.5,92.98,84.17,126131910,17288424977.0,Q1,2022,3.41,True,299.4,2918719000.0,118.9,361756000.0
DOCU,2021-06-04,7.8,209.94,194.75,480665767,9422832417.0,Q1,2022,-0.04,False,,469078000.0,57.9,-8354000.0
SFIX,2021-06-08,14.9,66.6,57.94,89309510,440843695.0,Q3,2021,-0.18,False,45.5,535589000.0,44.1,-18846000.0
RH,2021-06-10,12.2,686.03,611.33,288976015,2410493221.0,Q1,2022,4.19,True,2564.7,860792000.0,78.3,130656000.0
CROX,2021-07-22,11.3,133.56,119.98,113133176,3915708808.0,Q2,2021,4.93,True,494.0,640773000.0,93.3,318954000.0
SNAP,2021-07-23,17.7,74.14,62.97,990102097,7701621074.0,Q2,2021,-0.1,False,56.5,982108000.0,116.2,-151664000.0
CPRI,2021-07-30,8.9,54.5,50.05,80420120,2214027452.0,Q1,2022,1.41,True,216.5,1253000000.0,177.8,219000000.0
ON,2021-08-02,9.9,42.93,39.06,181931967,23069902032.0,Q2,2021,0.42,True,,1669900000.0,37.6,184100000.0
RL,2021-08-03,9.5,129.21,117.99,110704651,20021207871.0,Q1,2022,2.18,True,224.6,1376300000.0,182.3,164700000.0
NYT,2021-08-04,10.7,47.81,43.21,53441949,12787840107.0,Q2,2021,0.32,True,128.6,498497000.0,23.5,54317000.0
CVNA,2021-08-06,8.4,365.45,337,371124818,42842269530.0,Q2,2021,,,,3336000000.0,198.3,45000000.0
MGNI,2021-08-06,11.5,34.24,30.7,42166986,1715048656.0,Q2,2021,0.26,True,,114541000.0,,36808000.0
PLUG,2021-08-06,9.2,28.41,26,424629002,2997003527.0,Q2,2021,,,,124557000.0,83.2,-99634000.0
AMC,2021-08-10,9.2,369,338,3597822332,577206737.0,Q2,2021,-0.71,False,86.8,444700000.0,2252.9,-344000000.0
DDD,2021-08-10,14.8,32.55,28.35,85048392,353462035.0,Q2,2021,-0.08,False,,162557000.0,44.1,-9632000.0
FUBO,2021-08-11,15.1,32.96,28.64,147487189,419731107.0,Q2,2021,,,,130884000.0,,-94930000.0
CLOV,2021-08-12,17.1,9.52,8.13,174236409,1038841226.0,Q2,2021,-0.78,False,,412472000.0,,-317611000.0
OPEN,2021-08-12,17.2,16.44,14.03,105229380,4743711131.0,Q2,2021,-0.24,False,,1185386000.0,,-143805000.0
PLTR,2021-08-12,9.4,24.45,22.35,504403870,361023448575.0,Q2,2021,-0.07,False,,375642000.0,,-138580000.0
SONO,2021-08-12,12.0,38.98,34.8,50988829,1589475440.0,Q3,2021,0.12,True,123.1,378672000.0,51.9,17826000.0
DKS,2021-08-25,14.3,130.75,114.39,141625480,17288424977.0,Q2,2022,4.53,True,45.2,3274842000.0,20.7,495509000.0
SIG,2021-09-02,9.1,88,80.66,56448994,3344667977.0,Q2,2022,3.6,True,308.1,1788100000.0,101.4,224600000.0
MDB,2021-09-03,15.2,462.77,401.65,196317049,20968367627.0,Q2,2022,,,,198747000.0,43.7,-77133000.0
LULU,2021-09-09,13.9,433.73,380.85,320714398,18508540996.0,Q2,2022,1.59,True,140.9,1450618000.0,60.7,208074000.0
PLAY,2021-09-10,12.1,39.73,35.44,42386359,448762629.0,Q2,2022,1.07,True,186.3,377638000.0,642.9,52770000.0
FCEL,2021-09-14,10.3,186,168.6,90057427,351038822.0,Q3,2021,-0.04,False,42.9,26820000.0,43.2,-11997000.0
AN,2021-10-21,9.1,127.65,116.96,121548158,6368342407.0,Q3,2021,5.12,True,149.8,6379500000.0,18.0,361700000.0
CROX,2021-10-21,11.8,152,135.93,204313738,3915708808.0,Q3,2021,2.42,True,165.9,625919000.0,73.0,153489000.0
ENPH,2021-10-27,18.5,205.5,173.46,334894037,5777524953.0,Q3,2021,,,,351519000.0,96.9,21809000.0
F,2021-10-28,8.7,16.86,15.51,1097340078,46557175876.0,Q3,2021,0.45,True,-25.0,35683000000.0,-4.8,1822000000.0
KLAC,2021-10-28,7.6,366.44,340.57,310115980,185950523429.0,Q1,2022,6.96,True,158.7,2083838000.0,35.4,1068485000.0
SAIA,2021-10-28,8.4,296.8,273.89,43923742,8560916562.0,Q3,2021,2.98,True,91.0,616216000.0,28.0,79709000.0
RSG,2021-10-29,8.0,140.34,129.93,121796927,69258778672.0,Q3,2021,1.1,True,35.8,3461300000.0,34.6,350800000.0
ON,2021-11-01,11.8,53.75,48.07,211514705,23069902032.0,Q3,2021,0.7,True,84.2,1742100000.0,32.2,310400000.0
ANET,2021-11-02,19.8,30.6,25.54,164296101,167835768104.0,Q3,2021,2.81,True,32.5,748697000.0,23.7,224305000.0
IT,2021-11-02,10.5,362.82,328.4,138375938,11746882022.0,Q3,2021,1.76,True,826.3,1156282000.0,16.3,148865000.0
CPRI,2021-11-03,13.3,62.9,55.53,70729095,2214027452.0,Q2,2022,1.3,True,60.5,1300000000.0,17.1,200000000.0
