📊 EP v2 Raw Sample v0 — MavClaw1
Total: 639 setups | 352 tickers
Range: 2021-04-16 ~ 2026-02-09

By year: 2021:83 | 2022:122 | 2023:96 | 2024:164 | 2025:169 | 2026:5
By source: acceptance_afterhours:276 | filing_date_fallback:208 | acceptance_premarket:82 | acceptance_intraday:69 | manual_from_claw2:4
Gap%: mean=13.0 med=11.4 p25=8.9 p75=15.2

ticker | date | gap% | addv20 | source
------------------------------------------------------------
PPG    | 2021-04-16 |   9.9% | $  230.8M | fd_fallback
EFX    | 2021-04-22 |  13.1% | $  107.8M | fd_fallback
SNAP   | 2021-04-23 |   8.7% | $ 1149.1M | fd_fallback
CROX   | 2021-04-27 |  11.6% | $   81.9M | fd_fallback
IT     | 2021-05-04 |  18.0% | $  122.5M | fd_fallback
CZR    | 2021-05-05 |   9.3% | $  262.1M | fd_fallback
BILL   | 2021-05-07 |  16.9% | $  151.7M | fd_fallback
DDOG   | 2021-05-07 |  11.2% | $  251.3M | fd_fallback
NET    | 2021-05-07 |   8.5% | $  392.3M | fd_fallback
ROKU   | 2021-05-07 |  13.3% | $ 1141.8M | fd_fallback
DDD    | 2021-05-11 |  14.1% | $   70.1M | fd_fallback
CELH   | 2021-05-13 |  11.1% | $   48.9M | fd_fallback
SONO   | 2021-05-13 |  10.7% | $   86.0M | fd_fallback
DASH   | 2021-05-14 |   8.2% | $  331.1M | fd_fallback
GEVO   | 2021-05-14 |  11.6% | $   75.2M | fd_fallback
DKS    | 2021-05-26 |  10.5% | $  126.1M | fd_fallback
DOCU   | 2021-06-04 |   7.8% | $  480.7M | fd_fallback
SFIX   | 2021-06-08 |  14.9% | $   89.3M | fd_fallback
RH     | 2021-06-10 |  12.2% | $  289.0M | fd_fallback
CROX   | 2021-07-22 |  11.3% | $  113.1M | fd_fallback
SNAP   | 2021-07-23 |  17.7% | $  990.1M | afterhours
CPRI   | 2021-07-30 |   8.9% | $   80.4M | fd_fallback
ON     | 2021-08-02 |   9.9% | $  181.9M | fd_fallback
RL     | 2021-08-03 |   9.5% | $  110.7M | fd_fallback
NYT    | 2021-08-04 |  10.7% | $   53.4M | fd_fallback
CVNA   | 2021-08-06 |   8.4% | $  371.1M | fd_fallback
MGNI   | 2021-08-06 |  11.5% | $   42.2M | fd_fallback
PLUG   | 2021-08-06 |   9.2% | $  424.6M | fd_fallback
AMC    | 2021-08-10 |   9.2% | $ 3597.8M | fd_fallback
DDD    | 2021-08-10 |  14.8% | $   85.0M | fd_fallback
FUBO   | 2021-08-11 |  15.1% | $  147.5M | fd_fallback
CLOV   | 2021-08-12 |  17.1% | $  174.2M | fd_fallback
OPEN   | 2021-08-12 |  17.2% | $  105.2M | fd_fallback
PLTR   | 2021-08-12 |   9.4% | $  504.4M | fd_fallback
SONO   | 2021-08-12 |  12.0% | $   51.0M | fd_fallback
DKS    | 2021-08-25 |  14.3% | $  141.6M | fd_fallback
SIG    | 2021-09-02 |   9.1% | $   56.4M | fd_fallback
MDB    | 2021-09-03 |  15.2% | $  196.3M | fd_fallback
LULU   | 2021-09-09 |  13.9% | $  320.7M | fd_fallback
PLAY   | 2021-09-10 |  12.1% | $   42.4M | fd_fallback
FCEL   | 2021-09-14 |  10.3% | $   90.1M | fd_fallback
AN     | 2021-10-21 |   9.1% | $  121.5M | fd_fallback
CROX   | 2021-10-21 |  11.8% | $  204.3M | fd_fallback
ENPH   | 2021-10-27 |  18.5% | $  334.9M | fd_fallback
F      | 2021-10-28 |   8.7% | $ 1097.3M | fd_fallback
KLAC   | 2021-10-28 |   7.6% | $  310.1M | fd_fallback
SAIA   | 2021-10-28 |   8.4% | $   43.9M | fd_fallback
RSG    | 2021-10-29 |   8.0% | $  121.8M | fd_fallback
ON     | 2021-11-01 |  11.8% | $  211.5M | fd_fallback
ANET   | 2021-11-02 |  19.8% | $  164.3M | fd_fallback
IT     | 2021-11-02 |  10.5% | $  138.4M | fd_fallback
CPRI   | 2021-11-03 |  13.3% | $   70.7M | fd_fallback
SPT    | 2021-11-03 |   9.3% | $   41.5M | fd_fallback
BLDR   | 2021-11-04 |  11.1% | $   98.0M | fd_fallback
GDDY   | 2021-11-04 |  18.8% | $   74.2M | fd_fallback
RPD    | 2021-11-04 |  10.2% | $   47.3M | fd_fallback
AMN    | 2021-11-05 |  10.0% | $   60.4M | fd_fallback
DDOG   | 2021-11-05 |  16.1% | $  390.1M | fd_fallback
EXPE   | 2021-11-05 |  13.8% | $  287.6M | fd_fallback
GT     | 2021-11-05 |  11.9% | $   77.5M | fd_fallback
LYV    | 2021-11-05 |  10.3% | $  155.8M | fd_fallback
NWSA   | 2021-11-05 |  10.2% | $   55.9M | fd_fallback
PCTY   | 2021-11-05 |   7.6% | $   70.3M | fd_fallback
SHAK   | 2021-11-05 |   9.6% | $   74.7M | fd_fallback
COTY   | 2021-11-08 |   8.6% | $   64.6M | fd_fallback
TTD    | 2021-11-08 |  23.0% | $  265.9M | fd_fallback
FIVN   | 2021-11-09 |   9.9% | $  225.7M | fd_fallback
RBLX   | 2021-11-09 |  29.4% | $  493.1M | fd_fallback
DASH   | 2021-11-10 |  16.4% | $  404.3M | fd_fallback
PFGC   | 2021-11-10 |   7.7% | $   54.3M | fd_fallback
RNG    | 2021-11-10 |  28.4% | $  217.3M | fd_fallback
MQ     | 2021-11-11 |  17.5% | $  187.9M | fd_fallback
OPEN   | 2021-11-11 |  20.6% | $  330.9M | fd_fallback
AXON   | 2021-11-16 |  24.8% | $   62.4M | fd_fallback
LCID   | 2021-11-16 |  11.2% | $ 3276.8M | fd_fallback
INTU   | 2021-11-19 |  13.8% | $  741.6M | fd_fallback
FIVE   | 2021-12-02 |   8.9% | $  106.0M | fd_fallback
OKTA   | 2021-12-02 |   8.9% | $  343.2M | fd_fallback
MRVL   | 2021-12-03 |  20.9% | $  488.6M | fd_fallback
PD     | 2021-12-08 |   9.3% | $   41.0M | fd_fallback
RH     | 2021-12-09 |   8.3% | $  259.4M | fd_fallback
ORCL   | 2021-12-10 |  17.5% | $  776.3M | fd_fallback
ACN    | 2021-12-16 |  10.1% | $  927.6M | fd_fallback
